Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
0,NaN,59.99,-84.42249,0.213090568352351,29.78454,1.0227927780115,NaN,59.99,-172.62919,0.270802793977132,31.05931,1.0241779402601,NaN,59.99,-123.76181,1.04283917342775,29.78371,1.02311384641214
0.033,NaN,59.987,-83.628,0.209058369660788,29.59441,1.0226696466702,NaN,59.99,-168.95185,0.261000221254782,30.92868,1.02412125425352,NaN,59.987,-123.7305,1.03756399532093,29.59288,1.02298297807519
0.067,NaN,59.985,-81.9677,0.208230274437638,29.3784,1.0226162853979,NaN,59.99,-169.93278,0.26015975659079,30.79936,1.02407023290655,NaN,59.985,-123.74848,1.03259213741562,29.37709,1.02291899360814
0.1,NaN,59.986,-81.50082,0.207554974674555,29.21599,1.022494598838,NaN,59.99,-171.70776,0.256579430902363,30.66333,1.02393476153162,NaN,59.986,-123.58045,1.02649238967506,29.21519,1.02282656088433
0.133,NaN,59.988,-81.50082,0.207554974674555,29.13229,1.02251612426339,NaN,59.989,-174.31544,0.256584689408614,30.52411,1.02386033601128,NaN,59.988,-123.49556,1.02548478817032,29.12968,1.0228085781806
0.167,NaN,59.989,-80.79247,0.207278843340583,28.99758,1.02235518867913,NaN,59.989,-170.79651,0.264938185124083,30.38463,1.02378461687491,NaN,59.989,-123.54138,1.02303922422872,28.9952,1.02267986049851
0.2,NaN,59.989,-79.6522,0.208669479221167,28.86347,1.02223974116705,NaN,59.989,-170.10472,0.25141880457377,30.242,1.02368233395306,NaN,59.989,-123.45002,1.02385309758269,28.85992,1.02254345813372
0.233,NaN,59.989,-79.6522,0.208669479221167,28.72277,1.02213247380461,NaN,59.989,-170.57653,0.258807244880531,30.09688,1.02353348979038,NaN,59.989,-123.27875,1.0177692448724,28.71925,1.02243637522214
0.267,NaN,59.988,-79.16038,0.209004768750471,28.55109,1.02194651239558,NaN,59.988,-175.99827,0.242905462219398,29.95551,1.02353236024223,NaN,59.988,-123.27875,1.0177692448724,28.54883,1.02225004772283
0.3,NaN,59.988,-78.7843,0.210201855747538,28.40527,1.0218740193921,NaN,59.988,-173.94712,0.249069507150035,29.81033,1.02340513373037,NaN,59.988,-123.27875,1.0177692448724,28.40036,1.02218190437587
0.333,NaN,59.988,-78.31238,0.209621746898762,28.29004,1.02178387207168,NaN,59.989,-173.01862,0.23474181053077,29.66696,1.02337256304208,NaN,59.988,-123.27875,1.0177692448724,28.2875,1.02213854496902
0.367,NaN,59.988,-78.31238,0.209621746898762,28.11491,1.02160152497574,NaN,59.988,-172.73305,0.243426651895853,29.51693,1.02323873902319,NaN,59.988,-123.19284,1.01676971039429,28.11281,1.02192680888682
0.4,NaN,59.988,-77.31131,0.21296794954748,27.99973,1.0215646250139,NaN,59.989,-172.03477,0.244676981268719,29.38255,1.02327797429155,NaN,59.988,-123.19284,1.01676971039429,27.99541,1.02188069255712
0.433,NaN,59.989,-78.94934,0.213301207381186,27.86829,1.02149683274611,NaN,59.989,-170.99235,0.256217251284271,29.26425,1.02345154586422,NaN,59.989,-123.26279,1.02274355276357,27.86627,1.02182224743958
0.467,NaN,59.991,-80.28744,0.216768176406436,27.7865,1.02161367804829,NaN,59.99,-172.27741,0.258495439362102,29.14829,1.02340814363304,NaN,59.991,-123.79807,1.03289593566317,27.78496,1.0219467044273
0.5,NaN,59.992,-81.95619,0.219221030549879,27.71027,1.02173936915987,NaN,59.991,-170.79651,0.264938185124083,29.03894,1.02349510719305,NaN,59.992,-124.31737,1.04446799573924,27.70927,1.02210140884582
0.533,NaN,59.992,-83.96754,0.220778026446429,27.61571,1.02188835012946,NaN,59.992,-170.7264,0.268125317958684,28.94852,1.02355571652063,NaN,59.992,-124.81693,1.05794124484835,27.61359,1.02220330860791
0.567,NaN,59.994,-86.23996,0.225936083277648,27.56389,1.02194085606989,NaN,59.993,-170.75334,0.282998166311301,28.86082,1.02367415315077,NaN,59.994,-125.16802,1.07193024586039,27.56251,1.02231109995337
0.6,NaN,59.994,-88.2234,0.228962891427323,27.49102,1.0218953542919,NaN,59.993,-168.73446,0.276157865525535,28.77474,1.02374999338008,NaN,59.994,-125.53921,1.087173520125,27.48795,1.02223768559928
0.633,NaN,59.994,-89.92894,0.235659180848694,27.41682,1.02198350352855,NaN,59.993,-170.51715,0.29492559384964,28.67992,1.02388029420682,NaN,59.994,-125.79394,1.0979148557248,27.41555,1.02230589190252
0.667,NaN,59.994,-90.75923,0.234767744527511,27.33454,1.02217888257477,NaN,59.993,-168.57793,0.288129452565239,28.59744,1.02398758446245,NaN,59.994,-126.05251,1.09842911373392,27.33227,1.02251286439316
0.7,NaN,59.994,-90.98839,0.233202442581314,27.25182,1.02236887042458,NaN,59.993,-168.75417,0.292568826956797,28.51647,1.02415646769991,NaN,59.994,-126.40531,1.09916751557202,27.25222,1.02268203469921
0.733,NaN,59.994,-90.98839,0.233202442581314,27.17678,1.02251133426433,NaN,59.994,-173.15669,0.28444634698189,28.43761,1.02424251086319,NaN,59.994,-126.66327,1.09973453791092,27.17427,1.02279771470773
0.767,NaN,59.994,-91.39265,0.230500287436934,27.10321,1.02258764817189,NaN,59.994,-171.99759,0.282055937600187,28.36955,1.02432063950815,NaN,59.994,-126.73124,1.09646099825768,27.10138,1.02289208270964
0.8,NaN,59.995,-91.39265,0.230500287436934,27.03306,1.02265177722753,NaN,59.994,-171.53331,0.287819379963642,28.29343,1.0244044840714,NaN,59.995,-126.91351,1.09595988651419,27.0307,1.0229753635782
0.833,NaN,59.995,-91.39265,0.230500287436934,26.96243,1.02275796860989,NaN,59.994,-174.17001,0.280769814531357,28.22355,1.02432611600178,NaN,59.995,-126.98246,1.09269208341323,26.96045,1.02305194532609
0.867,NaN,59.995,-90.77569,0.229785728144221,26.89487,1.0227826044471,NaN,59.995,-173.15669,0.28444634698189,28.15769,1.02447960813536,NaN,59.995,-126.94501,1.09101378333837,26.8916,1.02313944381367
0.9,NaN,59.995,-90.77569,0.229785728144221,26.82867,1.02286598843544,NaN,59.995,-173.89319,0.289435593811277,28.08984,1.02452372713435,NaN,59.995,-127.10285,1.08703590262616,26.82698,1.02319201677694
0.933,NaN,59.995,-90.38341,0.228857960325299,26.76632,1.02292828196907,NaN,59.995,-172.51343,0.284001345890333,28.02254,1.02451600374408,NaN,59.995,-126.9885,1.0842579174314,26.76458,1.02323294654324
0.967,NaN,59.995,-90.38649,0.22703427450373,26.70157,1.02294629419297,NaN,59.995,-173.15669,0.28444634698189,27.95292,1.02458774945549,NaN,59.995,-127.14749,1.08028224768204,26.69991,1.023266638998
1,NaN,59.995,-89.9252,0.223870565924251,26.63534,1.02296427985876,NaN,59.995,-171.7116,0.293965916458691,27.88219,1.0245454232546,NaN,59.995,-127.10302,1.07423759474562,26.63291,1.02327761568173
1.033,NaN,59.993,-89.51904,0.222966401627709,26.51259,1.02300454456776,NaN,59.995,-173.15669,0.28444634698189,27.81697,1.02455675849795,NaN,59.993,-127.12392,1.07110316648504,26.5092,1.02332980553544
1.067,NaN,59.991,-89.51508,0.22114271580614,26.36728,1.02301627903626,NaN,59.994,-171.27444,0.28487742498303,27.74109,1.02453726624918,NaN,59.991,-127.32312,1.06881721015934,26.36413,1.02335224222037
1.1,NaN,59.992,-89.51508,0.22114271580614,26.30277,1.0231008183778,NaN,59.995,-170.81852,0.279800695731455,27.66817,1.02452912977735,NaN,59.992,-127.38248,1.06736753559493,26.29883,1.0234241558152
1.133,NaN,59.994,-89.51508,0.22114271580614,26.25271,1.02304935995158,NaN,59.994,-172.08933,0.291405681227356,27.5908,1.02444943284823,NaN,59.994,-127.38248,1.06736753559493,26.25019,1.0233818674182
1.167,NaN,59.994,-89.51508,0.22114271580614,26.18156,1.02288192526084,NaN,59.994,-173.79321,0.292607429173146,27.51454,1.02446344584213,NaN,59.994,-127.44803,1.06317483295118,26.18042,1.02325588346453
1.2,NaN,59.994,-89.27366,0.219573111445737,26.10837,1.02284962125817,NaN,59.994,-171.91758,0.28525334842428,27.4321,1.0244401042234,NaN,59.994,-127.37241,1.05980723774294,26.10585,1.02321455060733
1.233,NaN,59.994,-88.79787,0.219603766146955,26.03141,1.02289602174461,NaN,59.994,-171.91902,0.285263865436783,27.34722,1.0244326997313,NaN,59.994,-127.30652,1.05689229236262,26.02937,1.02322029810416
1.267,NaN,59.993,-88.37924,0.218731093132171,25.91807,1.02290727987404,NaN,59.993,-172.55682,0.285672056984578,27.24261,1.02429570766597,NaN,59.993,-127.34103,1.05195049160101,25.91539,1.02321389298027
1.3,NaN,59.993,-88.11113,0.215357522348643,25.82336,1.02286095213374,NaN,59.992,-172.84269,0.272120229060461,27.13905,1.02422153035604,NaN,59.993,-127.36651,1.04833311734581,25.82138,1.02318536841287
1.333,NaN,59.992,-86.78751,0.215579275947511,25.71736,1.02277368087114,NaN,59.992,-175.95061,0.283970631433363,27.03636,1.02414545250943,NaN,59.992,-127.40159,1.04339197389747,25.71533,1.02307679041512
