Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
0,0,59.978,103.75451,0.996042710445372,-69.93303,1.01592455017821,-0.00187,59.97734,-52.91883,2.64777806658979,-60.50467,1.04224589136615,0.00161,59.97993,139.26793,0.603750256303273,40.87894,1.0213184896998
0.033,0,59.978,103.53091,0.992416910629017,-70.19851,1.01579778986414,-0.00198,59.97841,-53.19055,2.64756862267601,-60.76799,1.04227667954824,-0.00201,59.97964,138.87175,0.603540214831966,40.63593,1.021350170365
0.067,0,59.979,103.13639,0.99167886732543,-70.45442,1.01581888574094,-0.0019,59.97967,-53.49679,2.6492235582515,-61.01478,1.04257050851297,-0.00438,59.97943,138.39002,0.603242870205729,40.39011,1.0213441716455
0.1,0,59.978,102.81788,0.996033328792173,-70.70462,1.01580832540206,0.0016,59.97909,-53.77375,2.64989114952246,-61.26273,1.042698302033,-0.00688,59.97905,137.90472,0.60330262595859,40.14049,1.0212891025711
0.133,-0.01,59.978,102.58461,0.996045578721509,-70.97009,1.01577663042862,0.00306,59.97805,-54.01304,2.64886263350422,-61.52368,1.04259249852962,-0.00688,59.97901,137.47775,0.603683927417597,39.88819,1.02125293986045
0.167,0,59.978,102.31533,0.995324267028723,-71.22219,1.01574493886907,0.00439,59.97808,-54.26254,2.64818607887032,-61.7875,1.04252478257247,-0.00342,59.97936,137.11735,0.603923607742323,39.63921,1.02126646577154
0.2,0,59.978,101.9866,0.993138819879333,-71.48384,1.01573440212625,-0.002,59.97807,-54.52173,2.64817149846662,-62.04954,1.04247066783297,-0.00503,59.9788,136.87718,0.603868871472702,39.38838,1.02131518318971
0.233,0,59.977,101.71855,0.99462602105654,-71.73785,1.01573437506609,-0.01116,59.97781,-54.76926,2.64768777564721,-62.31494,1.04233842705912,-0.01143,59.97752,136.74385,0.603535135592973,39.12442,1.02135206040896
0.267,-0.01,59.977,101.59405,0.989409045053,-72.01478,1.01567096267785,-0.00341,59.97852,-55.03837,2.64793074253835,-62.57545,1.04239229529516,-0.01407,59.9767,136.61946,0.60298370950557,38.8479,1.02134792607899
0.3,0,59.977,101.22457,0.995268574667056,-72.27261,1.01567093657158,0.00633,59.9791,-55.33297,2.64931265407901,-62.8273,1.04260338695406,-0.01364,59.97673,136.46797,0.602683436847443,38.56798,1.0213348618473
