Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
0,0.00012,59.98033,-121.00187,0.871659736482622,-172.11769,1.02379268250838,0,59.979,-105.67791,4.32751395267713,72.5265,1.02634935105801,0,59.98,-95.15044,2.69038278302046,76.31388,1.01836433788097
0.033,0.00125,59.98043,-121.21658,0.871413483025081,-172.35318,1.023824508214,0,59.98,-105.91636,4.32682072618818,72.29158,1.02643386087938,0,59.98,-95.37507,2.69328225166079,76.07514,1.01842770061709
0.067,0.00196,59.98045,-121.42344,0.871086141010908,-172.58763,1.02383839629942,0.01,59.981,-106.15245,4.32608399751116,72.0643,1.02650794445775,0.01,59.98,-95.56287,2.69331541610363,75.8536,1.01844890378063
0.1,-0.00042,59.98029,-121.61084,0.870919661483437,-172.82357,1.02383161951257,0,59.98,-106.39398,4.32533340549947,71.82749,1.02655006276234,0,59.98,-95.75256,2.69329999911939,75.62824,1.01851223724759
0.133,0.00093,59.98064,-121.79496,0.870699401778391,-173.05805,1.023851326134,0,59.98,-106.64486,4.32458496469489,71.59831,1.02662406184675,0,59.98,-95.95631,2.69401850229179,75.39906,1.01856508241896
0.167,0.00726,59.98154,-122.02352,0.870565907426499,-173.28386,1.02390076478817,0.01,59.981,-106.86887,4.3246052218951,71.37486,1.02670859827643,0,59.981,-96.18253,2.69548353408469,75.17369,1.01862851970857
0.2,0.01093,59.98225,-122.29306,0.870880342198054,-173.49952,1.02393859895294,0,59.981,-107.11133,4.32243859780787,71.15331,1.0267721178008,0,59.981,-96.38611,2.69695179268824,74.95978,1.01868138626699
0.233,0.01034,59.98217,-122.5629,0.871484711882492,-173.71255,1.02397974655602,0,59.981,-107.33,4.3246509948018,70.92794,1.02676141693989,0,59.981,-96.59025,2.69547026830756,74.74015,1.01872356607194
0.267,0.00959,59.98188,-122.80624,0.871940170230799,-173.92901,1.02402641046479,0,59.981,-107.56737,4.32671794629326,70.71403,1.02679313731675,-0.01,59.98,-96.78512,2.69621978471569,74.51097,1.01875525748087
0.3,0.00895,59.98213,-123.01389,0.872070378016284,-174.14499,1.02407144689845,0.01,59.981,-107.80317,4.32604222823991,70.49057,1.02685651988359,0,59.981,-96.98406,2.69330800639028,74.28943,1.01877632865711
0.333,0.00568,59.98249,-123.18601,0.871966522517811,-174.35651,1.02412622980794,0.01,59.982,-107.99597,4.32537403941142,70.28623,1.02690933613724,0.01,59.982,-97.21684,2.69257599841773,74.0698,1.01888204942369
