DFDT,FREQ,IA_MAG,IA_ANG,IB_MAG,IB_ANG,IC_MAG,IC_ANG,VA_MAG,VA_ANG,VB_MAG,VB_ANG,VC_MAG,VC_ANG,TIMESTAMP,ERROR_CODE
0.0,59.99,4.66633582379978,-31.08977,3.29931129359942,-33.52798,1.05657481004767,142.73488,1.02062916279774,141.60999,1.02172681420132,139.81091,1.02363193945787,134.56431,00:00.0,201
-0.01,59.991,4.66448333570534,-31.20017,3.2992930680948,-33.6707,1.05208685422904,143.33934,1.02067147057363,141.48967,1.02180045954573,139.68868,1.02317445127153,134.45281,00:00.0,201
0.01,59.991,4.66449564539043,-31.33201,3.30049051362639,-33.81415,1.04313078150172,142.17116,1.02061856596029,141.37698,1.02170579107066,139.58173,1.02351534748695,134.33426,00:00.1,201
-0.01,59.991,4.66448817592132,-31.45298,3.30295854573106,-33.87625,1.05567303598124,141.84597,1.02066088051376,141.25475,1.02177942416521,139.46141,1.02383139685619,134.24152,00:00.1,201
0.01,59.991,4.66627857778854,-31.54111,3.29928195352477,-33.98432,1.04189545082282,142.33422,1.02068207182907,141.14971,1.02184254566932,139.35254,1.02316406694918,134.11654,00:00.1,201
-0.01,59.99,4.66268169975657,-31.69652,3.30294856652033,-34.12817,1.03000178528484,142.41906,1.02056579127586,141.02366,1.02167423039391,139.22076,1.02358356393147,133.98606,00:00.2,201
0.0,59.99,4.66268414974244,-31.80543,3.30052296100019,-34.21342,1.02469374151394,142.02939,1.0206504121995,140.89571,1.02177942416521,139.10045,1.02334283929307,133.87183,00:00.2,201
0.005,59.991,4.66814361459109,-31.91298,3.30292161667579,-34.38549,1.03574670336491,142.28844,1.02059747143901,140.78493,1.02170581260834,138.98203,1.0230499780678,133.75714,00:00.2,201
0.0,59.99,4.66633367259268,-32.02945,3.30290864967742,-34.48729,1.02365566457524,141.5413,1.0205340099509,140.6646,1.02164270375573,138.86362,1.02364956807017,133.63914,00:00.3,201
0.005,59.991,4.66631592513408,-32.14401,3.30413896087307,-34.59022,1.02718896248617,141.09293,1.02067141138267,140.54619,1.02181098494237,138.74521,1.02372815352472,133.53181,00:00.3,201
0.0,59.991,4.66627666560445,-32.29101,3.3029188081554,-34.703,1.03238239472308,141.48644,1.02071372578554,140.42969,1.02182149638218,138.63062,1.0239775331959,133.43175,00:00.3,201
0.0,59.991,4.66630624470212,-32.37106,3.30172757722212,-34.8172,1.03238239472308,141.48644,1.02074544335095,140.3151,1.0218740802398,138.51603,1.02358116471478,133.29455,00:00.4,201
-0.005,59.99,4.66447807719909,-32.49363,3.30290847041016,-34.96579,1.03077233571799,140.6475,1.02060807846795,140.19096,1.02175838642508,138.38616,1.02377007030896,133.17833,00:00.4,201
0.015,59.991,4.66631825560844,-32.60785,3.30416328146449,-35.03469,1.04984667081002,140.30348,1.020713763238,140.07828,1.02186356879998,138.28111,1.02412155306994,133.1072,00:00.4,201
0.015,59.991,4.66633229821037,-32.63298,3.30172452967872,-35.11715,1.04771518310547,139.98492,1.02081948003843,139.98661,1.021989811758,138.18944,1.02410698627162,133.00417,00:00.5,201
-0.01,59.991,4.6627136093286,-32.78395,3.29931792648799,-35.20116,1.03331912590493,141.1462,1.02084063365025,139.86629,1.021989811758,138.07485,1.02343360226969,132.86622,00:00.5,201
0.0,59.991,4.66632512752002,-32.96523,3.30168270065172,-35.4333,1.03910228766683,141.02291,1.02068207177886,139.75742,1.02175837497848,137.95453,1.02304069111259,132.75831,00:00.5,201
0.0,59.991,4.66997692108887,-33.05538,3.30537966956973,-35.49349,1.03577771660065,140.04309,1.02070319943502,139.64856,1.02183199426682,137.84948,1.02420561135319,132.68431,00:00.6,201
0.02,59.992,4.66631281783493,-33.12226,3.29806693980184,-35.56354,1.03367305922913,139.71965,1.02091459538261,139.55307,1.02210549096325,137.76545,1.02436407743464,132.61593,00:00.6,201
0.01,59.992,4.66085060422165,-33.23243,3.30172972842922,-35.64431,1.03367305922913,139.71965,1.02103091333807,139.46521,1.02216861246736,137.67951,1.02393400806442,132.48624,00:00.6,201
-0.025,59.991,4.66085813344651,-33.32984,3.29931141311093,-35.77041,1.04053833791959,140.26194,1.02091466471485,139.35444,1.02201084723893,137.55727,1.02262849831407,132.38895,00:00.7,201
0.015,59.992,4.65903970613119,-33.48638,3.29928195352477,-35.97122,1.0458852826856,139.84097,1.0207348534919,139.26086,1.02174786343825,137.46751,1.02323550977762,132.26812,00:00.7,201
-0.015,59.991,4.6590607401562,-33.54546,3.29808683846755,-35.99124,1.02354541521121,139.92281,1.02081944243536,139.14627,1.02193722795059,137.35865,1.02378494952907,132.16335,00:00.7,201
0.005,59.992,4.66265044749783,-33.62607,3.2980837311684,-36.1045,1.0426970144917,138.68799,1.02093577525132,139.04886,1.02206341864586,137.26125,1.02422627652668,132.09639,00:00.8,201
0.005,59.992,4.65538773329509,-33.67444,3.29444986432541,-36.12778,1.04088492128618,139.44438,1.02100978568191,138.96101,1.02216863410545,137.17722,1.02401411370732,132.0053,00:00.8,201
0.005,59.992,4.65902847204966,-33.75439,3.29442004620473,-36.25289,1.04088492128618,139.44438,1.02103084275073,138.87315,1.02216863405524,137.07981,1.02386910847209,131.88858,00:00.8,201
-0.01,59.991,4.65902339281066,-33.89569,3.29686662599412,-36.36762,1.04053833791959,140.26194,1.02097809422278,138.76621,1.02206344028395,136.97095,1.02317181453795,131.77581,00:00.9,201
0.0,59.991,4.65536281514614,-34.0252,3.29807136172756,-36.51271,1.02056491777,138.92481,1.02085118620745,138.65352,1.02193718803812,136.85826,1.02329466598988,131.65597,00:00.9,201
0.0,59.992,4.65539538203145,-34.15874,3.29804243994317,-36.64862,1.03229951349386,139.88096,1.02080887863238,138.55039,1.02187408029,136.75705,1.02240839446849,131.58682,00:00.9,201
0.01,59.992,4.65717568517644,-34.26658,3.29565077569066,-36.74282,1.02549112228012,139.33093,1.0206820342762,138.46445,1.02168472807773,136.66919,1.02314487557521,131.46902,00:01.0,201
-0.02,59.992,4.65722307148846,-34.32156,3.29685598947011,-36.75538,1.04073105022257,138.36407,1.02076662337027,138.34986,1.02190566717343,136.55651,1.02390613429629,131.3867,00:01.0,201
0.02,59.992,4.65356237431244,-34.39734,3.29441669988257,-36.80738,1.02259195241856,139.25332,1.02086177621711,138.25818,1.02202135882937,136.48011,1.02362722305842,131.2698,00:01.0,201
-0.015,59.99,4.65537375044892,-34.47829,3.29684541270186,-36.962,1.03274570970047,139.05706,1.02076659711338,138.14932,1.02189517717088,136.35789,1.02360081892285,131.14068,00:01.1,201
-0.005,59.992,4.65354271466975,-34.61127,3.29689363559442,-37.03884,1.04981643439908,138.24755,1.02076666077252,138.03282,1.02193720179411,136.24138,1.02383755627988,131.06103,00:01.1,201
0.01,59.992,4.65174024214044,-34.69377,3.29442225716759,-37.1415,1.04055369514807,138.18782,1.02077718717324,137.94306,1.02197930021777,136.14971,1.02378649502044,130.95318,00:01.1,201
-0.01,59.991,4.64989301255225,-34.77957,3.29320096909061,-37.2276,1.03661375933893,138.62072,1.02077725665609,137.82465,1.02194776102849,136.03703,1.02361799926032,130.82918,00:01.2,201
-0.01,59.99,4.64808247299631,-34.92323,3.29439715975138,-37.39727,1.02570821493027,138.14418,1.02070323126459,137.6986,1.02186356874977,135.90907,1.02339315014778,130.687,00:01.2,201
0.0,59.991,4.64806502431647,-35.06941,3.29564282817553,-37.50097,1.04200020265758,138.02991,1.02067147042301,137.5821,1.02183200792241,135.78875,1.02380947386238,130.605,00:01.2,201
0.03,59.992,4.64988757477874,-35.131,3.29076048438801,-37.59621,1.02858001665702,138.22465,1.02078775097622,137.49042,1.0219792603555,135.70089,1.02374590584059,130.50496,00:01.3,201
-0.01,59.99,4.6481260946959,-35.21929,3.29197848589858,-37.71862,1.02570821493027,138.14418,1.02074541036668,137.37774,1.02189512952693,135.58821,1.02329873073659,130.34892,00:01.3,201
-0.03,59.99,4.64624229458695,-35.38823,3.29199438092884,-37.84429,1.04182924144865,137.85364,1.02059744523233,137.23259,1.02174786338805,135.44497,1.02361300382497,130.23041,00:01.3,201
0.005,59.99,4.64805474632698,-35.52859,3.29318883867278,-37.97629,1.02379854058033,137.81386,1.02060804653797,137.11035,1.02177944565268,135.32656,1.02349514308918,130.11199,00:01.4,201
-0.005,59.99,4.64806753405809,-35.65206,3.29201200887593,-38.07152,1.02751785814991,136.8899,1.0205657538736,136.98622,1.0217583384799,135.2005,1.02338408986531,129.99193,00:01.4,201
0.005,59.99,4.64807763278033,-35.7743,3.29318435699131,-38.24364,1.08432735361622,138.33652,1.02052348370079,136.86972,1.02165316735078,135.08209,1.02234221953452,129.8675,00:01.4,201
-0.005,59.99,4.64628932236445,-35.90081,3.29078582082722,-38.36576,1.06756598445018,137.98041,1.0203331665103,136.74558,1.02145333111028,134.95223,1.02340344641166,129.73267,00:01.5,201
0.0,59.99,4.6499076527117,-36.02293,3.2883354764254,-38.44763,1.04686193071036,136.43908,1.02051284931047,136.60997,1.02170579112087,134.83191,1.02375748040817,129.66033,00:01.5,201
0.01,59.991,4.64263812635313,-36.06087,3.28712357000162,-38.51335,1.0891306405427,136.97483,1.02053410554002,136.51257,1.02175837492828,134.7345,1.02341631690468,129.5161,00:01.5,201
-0.02,59.989,4.64259384734026,-36.2288,3.28711233592008,-38.67317,1.06837687001651,137.01312,1.02046003707317,136.36742,1.02163211811385,134.58362,1.02314602595817,129.35774,00:01.6,201
-0.01,59.989,4.64624719455868,-36.39155,3.28836631039387,-38.80507,1.08155486595072,136.20563,1.02041774079408,136.228,1.02160059729937,134.44803,1.02325344835171,129.23992,00:01.6,201
0.0,59.989,4.6462976284141,-36.48141,3.28711932734317,-38.95713,1.08758147264978,136.28357,1.02040713953864,136.10386,1.021526998394,134.32007,1.02322471172105,129.09286,00:01.6,201
0.0,59.99,4.64626237251991,-36.62648,3.28711120056078,-39.07986,1.06956535218516,136.21884,1.02037551736154,135.97399,1.02154803497943,134.19211,1.02304406851126,128.96888,00:01.7,201
0.0,59.989,4.64625980302254,-36.73346,3.28714938448686,-39.22337,1.0690628063036,135.96182,1.02029092836788,135.84795,1.02145333116048,134.06415,1.02300247785461,128.81857,00:01.7,201
-0.005,59.99,4.64992109775609,-36.85609,3.2871440064691,-39.32385,1.0842987306106,136.11812,1.02028033268512,135.70661,1.02147434043474,133.92472,1.02340484033603,128.71212,00:01.7,201
0.015,59.99,4.64624074093738,-37.00465,3.28713534188494,-39.45242,1.06785072061256,135.89951,1.02037548548176,135.58629,1.02157959580679,133.81396,1.02296033992011,128.56311,00:01.8,201
-0.015,59.989,4.64992211360389,-37.14785,3.28837330181696,-39.6053,1.08503964219033,137.38342,1.02028029513225,135.45642,1.0214112542243,133.66499,1.02175481312895,128.44813,00:01.8,201
0.005,59.989,4.64263764830711,-37.3061,3.28467507802814,-39.80737,1.07834962712301,136.20891,1.02003718156905,135.32846,1.02113779739014,133.54466,1.02272966961073,128.29019,00:01.8,201
-0.02,59.99,4.64989773325672,-37.42638,3.2919894809571,-39.85964,1.08849758809689,135.2519,1.02013236639608,135.17758,1.02133762579876,133.39951,1.02355280476751,128.19049,00:01.9,201
0.03,59.99,4.64808408640164,-37.50916,3.28592785738687,-39.94731,1.08850171124384,135.25127,1.02029095447415,135.06299,1.02153750993423,133.28874,1.02331911782807,128.05571,00:01.9,201
-0.015,59.988,4.64442805017433,-37.67493,3.28713946503188,-40.1076,1.09032701047074,136.19572,1.02030146029108,134.92166,1.02144281500145,133.13787,1.02248591398382,127.88645,00:01.9,201
-0.01,59.988,4.64628430288121,-37.81256,3.28591154406634,-40.30579,1.08413691203185,135.48446,1.02010059069401,134.77269,1.02127450434485,132.98698,1.0232846155768,127.7505,00:02.0,201
